"","house","offender","lat","Photo.Date","off_market_date"
"35906",14303,38,0.528385849852837,2022-08-02,2012-07-31
"35907",14303,84,0.261612498499977,2021-07-07,2012-07-31
"35908",14303,86,0.270704868645236,2021-07-07,2012-07-31
"35909",14303,87,0.916014394273637,2021-07-07,2012-07-31
"35910",14303,88,0.907004047441384,2019-11-21,2012-07-31
"35911",14303,94,0.810165428092334,2022-07-26,2012-07-31
"35912",14303,95,0.456939749704693,2022-07-26,2012-07-31
"35913",14303,97,0.810165428092334,2022-11-21,2012-07-31
"35914",14304,92,0.0626754533383687,2022-05-04,2021-09-24
"35915",14307,93,0.476461131351607,2022-10-03,2014-12-05
"35916",14308,38,0.938775162848247,2022-08-02,2015-02-13
"35917",14308,64,0.522692453900609,2022-06-01,2015-02-13
"35918",14308,76,0.605262346664508,2021-07-07,2015-02-13
"35919",14308,80,0.557509253671715,2012-04-20,2015-02-13
"35920",14308,81,0.605262346664508,2019-03-22,2015-02-13
"35921",14308,94,0.646775979686429,2022-07-26,2015-02-13
"35922",14308,95,0.936823693608129,2022-07-26,2015-02-13
"35923",14308,97,0.646775979686429,2022-11-21,2015-02-13
"35924",14309,93,0.999548092785024,2022-10-03,2021-03-26
"35925",14311,7,0.76192933401729,2022-09-21,2017-08-24
"35926",14311,8,0.736888159179324,2022-08-18,2017-08-24
"35927",14311,22,0.409315527207694,2021-03-02,2017-08-24
"35928",14311,39,0.446221820162229,2022-07-21,2017-08-24
"35929",14311,40,0.777894388316395,2022-09-23,2017-08-24
"35930",14311,47,0.474847551065818,2022-08-05,2017-08-24
"35931",14311,56,0.806095633411735,2017-10-25,2017-08-24
"35932",14311,58,0.61847486523963,2020-05-13,2017-08-24
"35933",14311,63,0.687960717777286,2021-04-21,2017-08-24
"35934",14311,66,0.539942980887638,2022-07-19,2017-08-24
"35935",14311,74,0.832801083274029,2022-07-26,2017-08-24
"35936",14312,93,0.252284210410626,2022-10-03,2017-08-01
"35937",14313,102,0.924742600149603,2022-08-02,2015-08-31
"35938",14314,38,0.377006206997396,2022-08-02,2020-07-24
"35939",14314,64,0.995566296510184,2022-06-01,2020-07-24
"35940",14314,76,0.845821451497267,2021-07-07,2020-07-24
"35941",14314,81,0.845821451497267,2019-03-22,2020-07-24
"35942",14314,84,0.469377429829387,2021-07-07,2020-07-24
